"","Gene","CpG_ratio","status"
"153","Mfran_g2767 ",0.811223,"weakly"
"154","Mfran_g2769 ",0.721224,"weakly"
"155","Mfran_g2770 ",0.99441,"weakly"
"156","Mfran_g2771 ",0.352596,"heavily"
"157","Mfran_g2772 ",0.236397,"heavily"
"158","Mfran_g2779 ",1.04979,"weakly"
"159","Mfran_g2781 ",0.788172,"weakly"
"160","Mfran_g2783 ",0.727351,"weakly"
"161","Mfran_g2784.1 ",0.576734,"weakly"
"162","Mfran_g2785 ",0.432416,"heavily"
"163","Mfran_g2786 ",0.761469,"weakly"
"164","Mfran_g2788 ",0.624819,"weakly"
"165","Mfran_g2789 ",0.634076,"weakly"
"166","Mfran_g2791 ",0.825083,"weakly"
"167","Mfran_g2792 ",0.875314,"weakly"
"168","Mfran_g2793 ",0.34024,"heavily"
"169","Mfran_g2794 ",0.303111,"heavily"
"170","Mfran_g2795 ",0.384178,"heavily"
"171","Mfran_g2797 ",0.351422,"heavily"
"172","Mfran_g2798 ",0.400099,"heavily"
"173","Mfran_g2800 ",0.29394,"heavily"
"174","Mfran_g2801 ",0.462181,"heavily"
"175","Mfran_g2802 ",0.539711,"heavily"
"176","Mfran_g2803 ",0.288185,"heavily"
"177","Mfran_g2804 ",0.381197,"heavily"
"178","Mfran_g2807 ",0.232966,"heavily"
"179","Mfran_g2808 ",0.539234,"heavily"
"180","Mfran_g2810 ",0.348398,"heavily"
"181","Mfran_g2811 ",0.228276,"heavily"
"182","Mfran_g2813 ",0.472184,"heavily"
"183","Mfran_g2814 ",0.279679,"heavily"
"184","Mfran_g2815 ",0.409612,"heavily"
"185","Mfran_g2816 ",0.690772,"weakly"
"186","Mfran_g2818 ",0.281882,"heavily"
"187","Mfran_g2819 ",0.419153,"heavily"
"188","Mfran_g2820 ",0.470651,"heavily"
"189","Mfran_g2822 ",0.321993,"heavily"
"190","Mfran_g2823 ",0.192672,"heavily"
"191","Mfran_g2824.1 ",0.431346,"heavily"
"192","Mfran_g2826 ",0.504321,"heavily"
"193","Mfran_g2828.1 ",0.525504,"heavily"
"194","Mfran_g2831 ",0.87364,"weakly"
"195","Mfran_g2832 ",0.976732,"weakly"
"196","Mfran_g2833 ",0.339122,"heavily"
"197","Mfran_g2834 ",0.7092,"weakly"
"198","Mfran_g2835 ",0.365068,"heavily"
"199","Mfran_g2836 ",0.280537,"heavily"
"200","Mfran_g2837.1 ",0.541999,"heavily"
"201","Mfran_g2838 ",0.248437,"heavily"
"202","Mfran_g2840 ",0.4248,"heavily"
"203","Mfran_g2841 ",0.395873,"heavily"
"204","Mfran_g2845 ",0.755577,"weakly"
"205","Mfran_g2847 ",1.05861,"weakly"
"206","Mfran_g2848 ",0.848325,"weakly"
"207","Mfran_g2850 ",0.267572,"heavily"
"208","Mfran_g2852 ",0.668385,"weakly"
"209","Mfran_g2853 ",0.886883,"weakly"
"210","Mfran_g2855.1 ",0.721892,"weakly"
"211","Mfran_g2856 ",0.408286,"heavily"
"212","Mfran_g2859 ",0.524991,"heavily"
"213","Mfran_g2860 ",1.09881,"weakly"
"214","Mfran_g2861 ",0.241928,"heavily"
"215","Mfran_g2867 ",0.928356,"weakly"
"216","Mfran_g2872 ",0.887208,"weakly"
"217","Mfran_g2874 ",0.565403,"weakly"
"218","Mfran_g2876 ",0.417742,"heavily"
"219","Mfran_g2877 ",0.995965,"weakly"
"220","Mfran_g2880 ",0.713542,"weakly"
"221","Mfran_g2881 ",1.03417,"weakly"
"222","Mfran_g2882 ",0.376545,"heavily"
"223","Mfran_g2883 ",0.418894,"heavily"
"224","Mfran_g2884 ",0.72149,"weakly"
"225","Mfran_g2885 ",0.433713,"heavily"
"226","Mfran_g2886 ",0.956819,"weakly"
"227","Mfran_g2887 ",1.03395,"weakly"
"228","Mfran_g2888 ",0.470717,"heavily"
"229","Mfran_g2889 ",0.777637,"weakly"
"230","Mfran_g2890 ",0.723387,"weakly"
"231","Mfran_g2891 ",0.646522,"weakly"
"232","Mfran_g2893 ",0.240781,"heavily"
"233","Mfran_g2894 ",0.619589,"weakly"
"234","Mfran_g2896.1 ",0.510175,"heavily"
"235","Mfran_g2897 ",0.393633,"heavily"
"236","Mfran_g2898 ",0.777095,"weakly"
"237","Mfran_g2900 ",0.852837,"weakly"
"238","Mfran_g2901 ",1.02991,"weakly"
"239","Mfran_g2902 ",0.705281,"weakly"
"240","Mfran_g2904 ",0.426717,"heavily"
"241","Mfran_g2905 ",0.360263,"heavily"
"242","Mfran_g2906 ",0.506674,"heavily"
"243","Mfran_g2910 ",0.519915,"heavily"
"244","Mfran_g2911 ",0.430738,"heavily"
"245","Mfran_g2912.1 ",0.442022,"heavily"
"246","Mfran_g2914 ",0.480862,"heavily"
"247","Mfran_g2916 ",0.455792,"heavily"
"248","Mfran_g2917 ",0.328615,"heavily"
"249","Mfran_g2918 ",0.506763,"heavily"
"250","Mfran_g2919 ",0.278914,"heavily"
"251","Mfran_g2921 ",0.296696,"heavily"
"252","Mfran_g2923 ",0.492899,"heavily"
"253","Mfran_g2926 ",0.420461,"heavily"
"254","Mfran_g2927 ",0.539817,"heavily"
"255","Mfran_g2928 ",0.511207,"heavily"
"256","Mfran_g2929 ",0.876031,"weakly"
"257","Mfran_g2930 ",0.903106,"weakly"
"258","Mfran_g2931 ",0.608925,"weakly"
"259","Mfran_g2932 ",0.930735,"weakly"
"260","Mfran_g2933 ",1.11955,"weakly"
"261","Mfran_g2935 ",0.838314,"weakly"
"262","Mfran_g2936 ",1.14063,"weakly"
"263","Mfran_g2937 ",0.921013,"weakly"
"264","Mfran_g2938 ",1.34177,"weakly"
"265","Mfran_g2939.1 ",0.583515,"weakly"
"266","Mfran_g2940 ",0.423394,"heavily"
"267","Mfran_g2943 ",1.01012,"weakly"
"268","Mfran_g2944 ",0.685158,"weakly"
"269","Mfran_g2945 ",0.409312,"heavily"
"270","Mfran_g2947 ",0.365558,"heavily"
"271","Mfran_g2949 ",0.999532,"weakly"
"272","Mfran_g2950 ",0.922913,"weakly"
"273","Mfran_g2951 ",1.1117,"weakly"
"274","Mfran_g2952 ",0.433297,"heavily"
"275","Mfran_g2953.1 ",0.449128,"heavily"
"276","Mfran_g2954 ",0.42491,"heavily"
"277","Mfran_g2955 ",0.258232,"heavily"
"278","Mfran_g2956 ",0.361756,"heavily"
"279","Mfran_g2957 ",0.431637,"heavily"
"280","Mfran_g2958.1 ",0.356649,"heavily"
"281","Mfran_g2959 ",0.305912,"heavily"
"282","Mfran_g2960 ",0.527084,"heavily"
"283","Mfran_g2962 ",0.77163,"weakly"
"284","Mfran_g2964 ",0.525044,"heavily"
"285","Mfran_g2965 ",0.375349,"heavily"
"286","Mfran_g2966 ",0.397666,"heavily"
"287","Mfran_g2968 ",0.700929,"weakly"
"288","Mfran_g2969 ",0.707073,"weakly"
"289","Mfran_g2971 ",0.702417,"weakly"
"290","Mfran_g2972 ",0.771449,"weakly"
"291","Mfran_g2975 ",0.653006,"weakly"
"292","Mfran_g2978 ",0.733335,"weakly"
"293","Mfran_g2979c ",0.791892,"weakly"
"294","Mfran_g2981 ",0.734135,"weakly"
"295","Mfran_g2987 ",0.472042,"heavily"
"296","Mfran_g2988 ",0.808638,"weakly"
"297","Mfran_g2989 ",0.876992,"weakly"
"298","Mfran_g2990 ",0.854823,"weakly"
"299","Mfran_g2992 ",0.886735,"weakly"
"300","Mfran_g2993 ",0.859653,"weakly"
"301","Mfran_g2994 ",0.787532,"weakly"
"302","Mfran_g2995c ",0.804207,"weakly"
"303","Mfran_g2997 ",0.773043,"weakly"
"304","Mfran_g2998 ",0.709323,"weakly"
"305","Mfran_g3000c ",0.765747,"weakly"
"306","Mfran_g3002 ",0.775544,"weakly"
"307","Mfran_g3003 ",0.790072,"weakly"
"308","Mfran_g3004 ",0.807514,"weakly"
"309","Mfran_g3005 ",0.716208,"weakly"
"310","Mfran_g3006 ",0.833124,"weakly"
"311","Mfran_g3007 ",0.645242,"weakly"
"312","Mfran_g3008 ",0.0310812,"heavily"
"313","Mfran_g3009 ",0.473253,"heavily"
"314","Mfran_g3010 ",0.254123,"heavily"
"315","Mfran_g3012 ",0.353956,"heavily"
"316","Mfran_g3013 ",0.899081,"weakly"
"317","Mfran_g3014 ",1.21189,"weakly"
"318","Mfran_g3015 ",1.0799,"weakly"
"319","Mfran_g3016 ",0.461557,"heavily"
"320","Mfran_g3017 ",0.86417,"weakly"
"321","Mfran_g3018 ",0.485283,"heavily"
"322","Mfran_g3019 ",0.538469,"heavily"
"323","Mfran_g3020 ",0.189926,"heavily"
"324","Mfran_g3021 ",0.629689,"weakly"
"325","Mfran_g3023 ",0.385691,"heavily"
"326","Mfran_g3024 ",0.731134,"weakly"
"327","Mfran_g3025 ",0.338819,"heavily"
"328","Mfran_g3028 ",1.13229,"weakly"
"329","Mfran_g3030 ",0.332748,"heavily"
"330","Mfran_g3033 ",0.437987,"heavily"
"331","Mfran_g3034 ",0.421615,"heavily"
"332","Mfran_g3035 ",0.313598,"heavily"
"333","Mfran_g3036.2 ",0.444009,"heavily"
"334","Mfran_g3037 ",0.305008,"heavily"
"335","Mfran_g3041 ",0.379865,"heavily"
"336","Mfran_g3043 ",0.425127,"heavily"
"337","Mfran_g3044 ",0.425048,"heavily"
"338","Mfran_g3048.1 ",0.351546,"heavily"
"339","Mfran_g3049 ",0.696497,"weakly"
"340","Mfran_g3050 ",0.479103,"heavily"
"341","Mfran_g3051 ",0.227812,"heavily"
"342","Mfran_g3053 ",0.915524,"weakly"
"343","Mfran_g3055 ",0.873075,"weakly"
"344","Mfran_g3056 ",1.08624,"weakly"
"345","Mfran_g3057 ",0.421899,"heavily"
"346","Mfran_g3058 ",0.282694,"heavily"
"347","Mfran_g3059 ",0.87631,"weakly"
"348","Mfran_g3061 ",0.415187,"heavily"
"349","Mfran_g3062 ",0.870437,"weakly"
"350","Mfran_g3064 ",0.520976,"heavily"
"351","Mfran_g3066 ",0.66802,"weakly"
"352","Mfran_g3067 ",0.343681,"heavily"
"353","Mfran_g3068 ",0.487498,"heavily"
"354","Mfran_g3069.1 ",0.494351,"heavily"
"355","Mfran_g3070c ",0.44338,"heavily"
"356","Mfran_g3072 ",0.343343,"heavily"
"357","Mfran_g3073 ",0.715428,"weakly"
"358","Mfran_g3074 ",0.985084,"weakly"
"359","Mfran_g3075 ",0.526764,"heavily"
"360","Mfran_g3076 ",0.396349,"heavily"
"361","Mfran_g3077 ",1.04658,"weakly"
"362","Mfran_g3078.1 ",0.396932,"heavily"
"363","Mfran_g3079 ",0.389789,"heavily"
"364","Mfran_g3081.1 ",0.398956,"heavily"
"365","Mfran_g3082.1 ",0.459323,"heavily"
"366","Mfran_g3083 ",0.371311,"heavily"
"367","Mfran_g3086 ",0.537143,"heavily"
"368","Mfran_g3087 ",0.292914,"heavily"
"369","Mfran_g3088 ",0.327134,"heavily"
"370","Mfran_g3091 ",0.401077,"heavily"
"371","Mfran_g3092 ",0.524932,"heavily"
"372","Mfran_g3093 ",0.943984,"weakly"
"373","Mfran_g3095 ",0.372926,"heavily"
"374","Mfran_g3096 ",0.648389,"weakly"
"375","Mfran_g3098.1 ",0.462131,"heavily"
"376","Mfran_g3099 ",0.402381,"heavily"
"377","Mfran_g3101 ",0.45509,"heavily"
"378","Mfran_g3102.1 ",0.312305,"heavily"
"379","Mfran_g3104 ",0.27356,"heavily"
"380","Mfran_g3106 ",0.284882,"heavily"
"381","Mfran_g3108 ",0.389816,"heavily"
"382","Mfran_g3110.2 ",0.927512,"weakly"
"383","Mfran_g3113 ",0.475138,"heavily"
"384","Mfran_g3114 ",0.474952,"heavily"
"385","Mfran_g3115 ",0.475138,"heavily"
"386","Mfran_g3117 ",0.234499,"heavily"
"387","Mfran_g3118 ",0.293308,"heavily"
"388","Mfran_g3119 ",0.238902,"heavily"
"389","Mfran_g3120.1 ",0.457232,"heavily"
"390","Mfran_g3121 ",0.349282,"heavily"
"391","Mfran_g3122.1 ",0.483579,"heavily"
"392","Mfran_g3123 ",0.41369,"heavily"
"393","Mfran_g3126c ",0.624783,"weakly"
"394","Mfran_g3128.1 ",0.3202,"heavily"
"395","Mfran_g3131 ",1.04123,"weakly"
"396","Mfran_g3132 ",0.264868,"heavily"
"397","Mfran_g3135 ",1.03652,"weakly"
"398","Mfran_g3137 ",0.911331,"weakly"
"399","Mfran_g3138.1 ",0.924723,"weakly"
"400","Mfran_g3139 ",0.41437,"heavily"
"401","Mfran_g3143 ",0.59833,"weakly"
"402","Mfran_g3144.2 ",0.687817,"weakly"
"403","Mfran_g3145 ",0.211224,"heavily"
"404","Mfran_g3146.1 ",0.305295,"heavily"
"405","Mfran_g3147 ",0.299345,"heavily"
"406","Mfran_g3148 ",0.723256,"weakly"
"407","Mfran_g3150 ",0.946873,"weakly"
"408","Mfran_g3152 ",0.808397,"weakly"
"409","Mfran_g3153 ",0.787543,"weakly"
"410","Mfran_g3156 ",1.08059,"weakly"
"411","Mfran_g3158 ",0.618465,"weakly"
"412","Mfran_g3159 ",0.502378,"heavily"
"413","Mfran_g3161 ",0.665634,"weakly"
"414","Mfran_g3163 ",0.56167,"weakly"
"415","Mfran_g3165 ",0.932676,"weakly"
"416","Mfran_g3170 ",1.42327,"weakly"
"417","Mfran_g3176 ",0.873,"weakly"
"418","Mfran_g3177 ",0.9123,"weakly"
"419","Mfran_g3178 ",0.773195,"weakly"
"420","Mfran_g3179 ",0.681075,"weakly"
"421","Mfran_g3180 ",0.745287,"weakly"
"422","Mfran_g3181 ",0.381479,"heavily"
"423","Mfran_g3182 ",0.461259,"heavily"
"424","Mfran_g3183 ",0.869972,"weakly"
"425","Mfran_g3185 ",0.898353,"weakly"
"426","Mfran_g3186 ",0.527811,"heavily"
"427","Mfran_g3187 ",0.33109,"heavily"
"428","Mfran_g3188 ",0.351244,"heavily"
"429","Mfran_g3189 ",0.360793,"heavily"
"430","Mfran_g3190 ",0.374936,"heavily"
"431","Mfran_g3191 ",0.372683,"heavily"
"432","Mfran_g3194 ",0.312549,"heavily"
"433","Mfran_g3196 ",0.280851,"heavily"
"434","Mfran_g3197.1 ",0.440102,"heavily"
"435","Mfran_g3198 ",0.71794,"weakly"
"436","Mfran_g3200 ",0.457051,"heavily"
"437","Mfran_g3202 ",0.69844,"weakly"
"438","Mfran_g3203 ",0.371676,"heavily"
"439","Mfran_g3204 ",0.338472,"heavily"
"440","Mfran_g3206 ",0.268462,"heavily"
"441","Mfran_g3207 ",0.297227,"heavily"
"442","Mfran_g3208 ",0.700193,"weakly"
"443","Mfran_g3209 ",0.453926,"heavily"
"444","Mfran_g3210.1 ",0.42408,"heavily"
"445","Mfran_g3211 ",0.37841,"heavily"
"446","Mfran_g3212 ",0.203214,"heavily"
"447","Mfran_g3213 ",0.398116,"heavily"
"448","Mfran_g3214 ",0.228254,"heavily"
"449","Mfran_g3216 ",0.943277,"weakly"
"450","Mfran_g3218 ",0.518881,"heavily"
"451","Mfran_g3219 ",0.883455,"weakly"
"452","Mfran_g3220 ",0.285359,"heavily"
"453","Mfran_g3222.1 ",0.309743,"heavily"
"454","Mfran_g3223 ",0.396431,"heavily"
"455","Mfran_g3224 ",0.412512,"heavily"
"456","Mfran_g3227 ",0.945282,"weakly"
"457","Mfran_g3228 ",0.980327,"weakly"
"458","Mfran_g3229 ",1.00088,"weakly"
"459","Mfran_g3230 ",0.655891,"weakly"
"460","Mfran_g3232 ",0.822712,"weakly"
"461","Mfran_g3233 ",0.745608,"weakly"
"462","Mfran_g3234.2 ",0.817349,"weakly"
"463","Mfran_g3235 ",1.05115,"weakly"
"464","Mfran_g3238 ",0.497507,"heavily"
"465","Mfran_g3241 ",0.774837,"weakly"
"466","Mfran_g3242 ",0.452386,"heavily"
"467","Mfran_g3244 ",0.410106,"heavily"
"468","Mfran_g3245.1 ",0.339876,"heavily"
"469","Mfran_g3246.1 ",1.01381,"weakly"
"470","Mfran_g3247 ",0.659909,"weakly"
"471","Mfran_g3248 ",0.286865,"heavily"
"472","Mfran_g3249 ",0.385497,"heavily"
"473","Mfran_g3251 ",0.363803,"heavily"
"474","Mfran_g3253 ",0.356013,"heavily"
"475","Mfran_g3258 ",0.405677,"heavily"
"476","Mfran_g3259 ",0.520291,"heavily"
"477","Mfran_g3261 ",0.561438,"weakly"
"478","Mfran_g3264 ",0.197804,"heavily"
"479","Mfran_g3271.1 ",0.524636,"heavily"
"480","Mfran_g3275 ",0.449189,"heavily"
"481","Mfran_g3276 ",0.47456,"heavily"
"482","Mfran_g3277 ",0.63311,"weakly"
"483","Mfran_g3278 ",0.381708,"heavily"
"484","Mfran_g3279 ",0.382144,"heavily"
"485","Mfran_g3281 ",0.531985,"heavily"
"486","Mfran_g3283 ",0.681705,"weakly"
"487","Mfran_g3284 ",0.325879,"heavily"
"488","Mfran_g3285 ",0.392371,"heavily"
"489","Mfran_g3287.1 ",0.364372,"heavily"
"490","Mfran_g3288.1 ",0.284351,"heavily"
"491","Mfran_g3289 ",0.47762,"heavily"
"492","Mfran_g3290c ",0.216797,"heavily"
"493","Mfran_g3293 ",0.353123,"heavily"
"494","Mfran_g3294 ",0.386712,"heavily"
"495","Mfran_g3295 ",0.335104,"heavily"
"496","Mfran_g3297 ",0.519375,"heavily"
"497","Mfran_g3298.1 ",0.342505,"heavily"
"498","Mfran_g3301 ",0.368479,"heavily"
"499","Mfran_g3305.1 ",0.414029,"heavily"
"500","Mfran_g3307 ",0.614027,"weakly"
"501","Mfran_g3309 ",0.685819,"weakly"
"502","Mfran_g3311 ",0.397387,"heavily"
"503","Mfran_g3315 ",0.325536,"heavily"
"504","Mfran_g3316 ",0.501727,"heavily"
"505","Mfran_g3317 ",0.918212,"weakly"
"506","Mfran_g3318 ",0.345106,"heavily"
"507","Mfran_g3319 ",0.427335,"heavily"
"508","Mfran_g3320 ",0.311464,"heavily"
"509","Mfran_g3321 ",0.401241,"heavily"
"510","Mfran_g3322 ",0.361976,"heavily"
"511","Mfran_g3324 ",0.443169,"heavily"
"512","Mfran_g3325.1 ",0.248971,"heavily"
"513","Mfran_g3326 ",0.515856,"heavily"
"514","Mfran_g3327 ",0.328825,"heavily"
"515","Mfran_g3329 ",0.280825,"heavily"
"516","Mfran_g3331 ",0.834275,"weakly"
"517","Mfran_g3332 ",0.892009,"weakly"
"518","Mfran_g3335 ",0.962438,"weakly"
"519","Mfran_g3336 ",0.866639,"weakly"
"520","Mfran_g3338 ",0.830711,"weakly"
"521","Mfran_g3341 ",0.779452,"weakly"
"522","Mfran_g3342 ",0.696049,"weakly"
"523","Mfran_g3343 ",0.839991,"weakly"
"524","Mfran_g3345 ",0.857906,"weakly"
"525","Mfran_g3346 ",0.725296,"weakly"
"526","Mfran_g3347.1 ",0.66316,"weakly"
"527","Mfran_g3349 ",0.302963,"heavily"
"528","Mfran_g3351 ",0.572209,"weakly"
"529","Mfran_g3354 ",0.868263,"weakly"
"530","Mfran_g3355 ",0.668166,"weakly"
"531","Mfran_g3358.2 ",0.725414,"weakly"
"532","Mfran_g3360 ",0.441872,"heavily"
"533","Mfran_g3361 ",0.502082,"heavily"
"534","Mfran_g3362 ",0.492499,"heavily"
"535","Mfran_g3363 ",0.65314,"weakly"
"536","Mfran_g3364 ",0.205897,"heavily"
"537","Mfran_g3365 ",0.415794,"heavily"
"538","Mfran_g3366.1 ",0.448208,"heavily"
"539","Mfran_g3367 ",0.165731,"heavily"
"540","Mfran_g3368.1 ",0.928323,"weakly"
"541","Mfran_g3369 ",0.798823,"weakly"
"542","Mfran_g3371 ",0.378929,"heavily"
"543","Mfran_g3372 ",0.232471,"heavily"
"544","Mfran_g3373 ",0.37784,"heavily"
"545","Mfran_g3374 ",0.998069,"weakly"
"546","Mfran_g3375 ",0.624551,"weakly"
"547","Mfran_g3377 ",0.516001,"heavily"
"548","Mfran_g3378 ",0.348218,"heavily"
"549","Mfran_g3382 ",0.534668,"heavily"
"550","Mfran_g3383 ",0.576131,"weakly"
"551","Mfran_g3384 ",0.523241,"heavily"
"552","Mfran_g3385 ",0.477418,"heavily"
"553","Mfran_g3387 ",0.420565,"heavily"
